Ano,Unidade_Geografica,Aprovacao_Ensino_Fundamental,Aprovacao_Ensino_Medio,Reprovacao_Ensino_Fundamental,Reprovacao_Ensino_Medio
2017,Amapá,99.1,98.1,0.8,1.8
2017,Amapá,86.5,88.4,6.0,0.6
2017,Amapá,85.3,75.1,12.0,15.4
2017,Amapá,86.1,75.2,11.5,15.7
2017,Amapá,82.6,74.5,13.9,13.7
2017,Tocantins,91.4,84.2,7.4,10.2
2017,Tocantins,91.9,84.4,7.1,10.1
2017,Tocantins,88.3,82.9,9.2,11.8
2017,Tocantins,,80.2,,19.3
2017,Tocantins,,82.6,,16.9
2017,Tocantins,,74.5,,25.1
2017,Tocantins,87.5,83.8,10.0,10.1
2017,Tocantins,88.0,83.7,9.9,10.1
2017,Tocantins,83.4,84.0,11.2,9.2
2017,Tocantins,92.8,,6.6,
2017,Tocantins,93.4,,6.1,
2017,Tocantins,89.8,,8.8,
2017,Tocantins,98.3,94.5,1.7,5.2
2017,Tocantins,98.2,94.4,1.7,5.3
2017,Tocantins,99.2,96.3,0.8,3.7
2017,Tocantins,90.7,83.6,7.9,10.5
2017,Tocantins,91.2,83.7,7.7,10.4
2017,Tocantins,88.1,82.2,9.4,12.2
2017,Nordeste,88.0,83.0,9.3,10.0
2017,Nordeste,88.3,82.9,9.1,10.2
2017,Nordeste,87.1,83.3,9.9,8.5
2017,Nordeste,96.4,82.3,3.6,14.0
2017,Nordeste,96.3,82.0,3.7,14.3
2017,Nordeste,97.3,84.8,1.8,11.9
2017,Nordeste,80.9,81.6,14.8,10.6
2017,Nordeste,80.9,81.5,14.9,10.8
2017,Nordeste,80.2,83.0,13.9,8.5
2017,Nordeste,86.8,79.1,10.3,9.0
2017,Nordeste,86.5,78.6,10.4,9.4
2017,Nordeste,87.3,79.6,9.9,8.4
2017,Nordeste,97.3,95.0,2.4,4.3
2017,Nordeste,97.3,95.1,2.4,4.3
2017,Nordeste,95.8,90.5,3.9,4.8
2017,Nordeste,86.1,81.6,10.8,10.7
2017,Nordeste,85.6,81.5,11.1,10.9
2017,Nordeste,87.1,83.0,10.0,8.7
2017,Maranhão,89.7,86.5,7.8,7.4
2017,Maranhão,90.2,87.0,7.6,7.3
2017,Maranhão,89.0,83.7,8.0,8.0
2017,Maranhão,95.5,86.2,4.3,10.5
2017,Maranhão,94.8,86.1,5.2,10.5
2017,Maranhão,97.3,86.9,1.8,10.7
2017,Maranhão,85.2,86.0,10.0,7.6
2017,Maranhão,90.4,86.4,8.3,7.5
2017,Maranhão,76.5,83.6,12.8,8.0
2017,Maranhão,88.9,82.9,8.4,4.9
2017,Maranhão,88.7,86.9,8.7,3.9
2017,Maranhão,89.3,76.8,7.9,6.4
2017,Maranhão,97.7,94.9,2.0,3.6
2017,Maranhão,97.7,95.7,2.0,3.5
2017,Maranhão,98.1,86.5,1.5,5.1
2017,Maranhão,88.8,85.9,8.4,7.7
2017,Maranhão,88.8,86.4,8.7,7.6
2017,Maranhão,88.9,83.6,8.1,8.1
2017,Piauí,88.5,82.8,9.4,7.7
2017,Piauí,89.2,83.1,8.8,7.9
2017,Piauí,86.8,77.8,10.9,5.8
2017,Piauí,,80.1,,16.7
2017,Piauí,,80.0,,16.8
2017,Piauí,,81.2,,15.5
2017,Piauí,82.7,81.5,12.0,7.6
2017,Piauí,82.8,81.7,11.9,7.8
2017,Piauí,68.2,77.5,17.9,5.2
2017,Piauí,87.7,74.2,10.2,24.5
2017,Piauí,88.2,74.2,9.8,24.5
2017,Piauí,86.8,,10.8,
2017,Piauí,96.6,94.6,3.3,4.9
2017,Piauí,96.6,94.6,3.3,5.0
2017,Piauí,94.7,96.4,5.3,1.8
2017,Piauí,87.3,81.4,10.4,8.1
2017,Piauí,87.5,81.6,10.1,8.2
2017,Piauí,86.8,77.7,10.9,5.8
2017,Ceará,94.9,88.9,4.0,5.1
2017,Ceará,94.8,88.9,4.1,5.1
2017,Ceará,95.4,90.3,3.5,4.0
2017,Ceará,95.4,81.0,4.6,15.0
2017,Ceará,95.4,81.2,4.6,14.5
2017,Ceará,,79.3,,19.9
2017,Ceará,88.5,88.3,7.1,5.1
2017,Ceará,88.1,88.1,7.3,5.2
2017,Ceará,92.0,90.6,5.3,3.7
2017,Ceará,94.3,,4.4,
2017,Ceará,93.9,,4.7,
2017,Ceará,95.5,,3.5,
2017,Ceará,97.7,96.1,2.0,3.5
2017,Ceará,97.7,96.2,2.0,3.5
2017,Ceará,98.0,91.5,2.0,0.0
2017,Ceará,94.2,88.2,4.5,5.3
2017,Ceará,93.7,88.0,4.8,5.3
2017,Ceará,95.4,90.3,3.6,4.0
2017,Rio Grande do Norte,84.4,75.4,12.6,15.4
2017,Rio Grande do Norte,84.7,75.3,12.4,15.5
2017,Rio Grande do Norte,82.9,79.4,13.5,10.9
2017,Rio Grande do Norte,100.0,84.5,0.0,13.2
2017,Rio Grande do Norte,100.0,84.3,0.0,13.4
2017,Rio Grande do Norte,,86.5,,12.1
2017,Rio Grande do Norte,78.5,71.1,17.5,17.3
2017,Rio Grande do Norte,78.5,71.0,17.5,17.5
2017,Rio Grande do Norte,79.0,76.1,15.7,10.5
2017,Rio Grande do Norte,82.0,,14.4,
2017,Rio Grande do Norte,81.6,,14.7,
2017,Rio Grande do Norte,83.0,,13.5,
2017,Rio Grande do Norte,97.0,94.5,2.7,5.0
2017,Rio Grande do Norte,97.0,94.5,2.7,5.0
2017,Rio Grande do Norte,96.1,100.0,3.3,0.0
2017,Rio Grande do Norte,81.1,72.6,15.2,16.9
2017,Rio Grande do Norte,80.6,72.3,15.6,17.1
2017,Rio Grande do Norte,82.7,79.3,13.6,11.0
2017,Paraíba,86.1,78.9,10.1,9.9
2017,Paraíba,86.2,79.0,9.9,9.9
2017,Paraíba,85.7,78.0,11.0,10.4
2017,Paraíba,100.0,84.2,0.0,11.8
2017,Paraíba,100.0,84.1,0.0,11.9
2017,Paraíba,,85.3,,11.5
2017,Paraíba,79.6,75.9,13.5,10.9
2017,Paraíba,79.7,75.9,13.3,10.9
2017,Paraíba,78.2,77.7,15.0,10.3
2017,Paraíba,84.6,72.2,11.5,9.4
2017,Paraíba,84.0,72.2,11.8,9.4
2017,Paraíba,86.4,,10.6,
2017,Paraíba,97.4,95.2,2.2,3.9
2017,Paraíba,97.5,95.2,2.2,3.9
2017,Paraíba,89.6,,9.7,
2017,Paraíba,83.4,76.3,12.0,10.9
2017,Paraíba,82.8,76.2,12.3,10.9
2017,Paraíba,85.7,78.0,11.0,10.4
2017,Pernambuco,90.1,92.6,8.1,5.9
2017,Pernambuco,90.6,93.0,7.8,5.7
2017,Pernambuco,88.3,87.4,9.8,8.7
2017,Pernambuco,98.1,77.5,1.7,17.2
2017,Pernambuco,98.1,76.3,1.7,18.0
2017,Pernambuco,,81.4,,14.8
2017,Pernambuco,91.8,92.6,7.2,5.9
2017,Pernambuco,92.8,92.9,6.4,5.8
2017,Pernambuco,84.3,87.9,12.8,8.2
2017,Pernambuco,87.2,87.5,10.4,7.3
2017,Pernambuco,86.8,85.8,10.7,2.5
2017,Pernambuco,88.5,88.4,9.6,9.9
2017,Pernambuco,97.3,95.6,2.4,3.9
2017,Pernambuco,97.4,95.6,2.4,3.9
2017,Pernambuco,93.3,96.2,6.4,3.4
2017,Pernambuco,88.0,92.3,9.9,6.2
2017,Pernambuco,87.9,92.6,9.9,6.0
2017,Pernambuco,88.2,87.3,9.9,8.8
2017,Alagoas,89.3,83.5,7.4,7.8
2017,Alagoas,89.2,83.4,7.2,8.0
2017,Alagoas,89.6,86.7,7.8,5.2
2017,Alagoas,,76.1,,16.7
2017,Alagoas,,76.1,,16.7
2017,Alagoas,85.2,81.9,8.9,8.0
2017,Alagoas,84.8,81.5,9.0,8.2
2017,Alagoas,91.5,86.7,6.4,5.2
2017,Alagoas,88.0,,8.4,
2017,Alagoas,87.3,,8.6,
2017,Alagoas,89.5,,7.9,
2017,Alagoas,97.4,95.0,2.2,4.3
2017,Alagoas,97.4,95.0,2.2,4.3
2017,Alagoas,95.9,,4.0,
2017,Alagoas,87.6,81.6,8.4,8.4
2017,Alagoas,86.8,81.2,8.7,8.6
2017,Alagoas,89.6,86.7,7.8,5.2
2017,Sergipe,82.2,78.0,14.7,11.5
2017,Sergipe,83.1,78.1,13.9,11.5
2017,Sergipe,79.5,75.8,17.1,11.0
2017,Sergipe,88.4,77.8,11.6,16.8
2017,Sergipe,88.4,75.2,11.6,21.9
2017,Sergipe,,81.2,,9.8
2017,Sergipe,78.2,74.3,17.8,12.8
2017,Sergipe,78.1,74.3,17.9,12.9
2017,Sergipe,79.9,74.8,16.9,11.2
2017,Sergipe,77.8,,18.2,
2017,Sergipe,76.8,,18.9,
2017,Sergipe,79.3,,17.3,
2017,Sergipe,96.8,94.4,3.0,5.0
2017,Sergipe,96.8,94.4,3.0,5.0
2017,Sergipe,96.6,,3.2,
2017,Sergipe,77.9,74.4,18.1,12.9
2017,Sergipe,77.3,74.3,18.5,13.0
2017,Sergipe,79.3,75.8,17.2,11.0
2017,Bahia,83.5,74.7,12.8,16.8
2017,Bahia,83.8,74.5,12.7,17.1
2017,Bahia,82.7,79.2,13.2,12.2
2017,Bahia,96.7,84.0,3.3,13.2
2017,Bahia,96.7,83.4,3.3,13.9
2017,Bahia,,90.8,,5.9
2017,Bahia,70.8,72.6,24.1,18.1
2017,Bahia,70.7,72.3,24.3,18.4
2017,Bahia,72.7,77.3,20.8,13.6
2017,Bahia,82.3,77.4,13.5,10.3
2017,Bahia,82.0,74.4,13.7,12.3
2017,Bahia,82.8,79.5,13.1,9.0
2017,Bahia,97.0,94.3,2.7,5.1
2017,Bahia,97.1,94.4,2.7,5.1
2017,Bahia,94.0,92.2,5.5,5.0
2017,Bahia,81.1,72.9,14.6,17.9
2017,Bahia,80.3,72.6,15.3,18.2
2017,Bahia,82.6,78.0,13.3,12.9
2017,Sudeste,93.8,85.0,5.3,10.5
2017,Sudeste,93.8,84.9,5.3,10.6
2017,Sudeste,92.5,90.1,6.8,6.8
2017,Sudeste,93.9,88.2,6.0,10.6
2017,Sudeste,93.9,88.2,6.0,10.7
2017,Sudeste,,88.7,,9.7
2017,Sudeste,92.3,83.0,6.2,11.7
2017,Sudeste,92.3,82.9,6.1,11.8
2017,Sudeste,92.3,89.9,6.3,6.7
2017,Sudeste,93.1,90.8,6.1,7.4
2017,Sudeste,93.2,90.8,6.0,7.5
2017,Sudeste,92.4,92.1,7.0,4.4
2017,Sudeste,97.8,95.9,2.1,3.9
2017,Sudeste,97.8,95.9,2.1,3.9
2017,Sudeste,95.9,94.9,3.7,3.6
2017,Sudeste,92.8,83.2,6.1,11.6
2017,Sudeste,92.8,83.1,6.1,11.8
2017,Sudeste,92.4,89.8,6.8,7.0
2017,Minas Gerais,92.8,80.4,6.0,12.4
2017,Minas Gerais,92.6,80.2,6.1,12.5
2017,Minas Gerais,95.1,88.9,4.1,6.6
2017,Minas Gerais,93.5,89.5,6.4,9.7
2017,Minas Gerais,93.5,89.3,6.4,10.1
2017,Minas Gerais,,90.3,,8.4
2017,Minas Gerais,89.7,78.6,8.2,13.3
2017,Minas Gerais,89.6,78.4,8.3,13.4
2017,Minas Gerais,93.0,87.8,5.3,6.5
2017,Minas Gerais,94.4,88.7,4.9,7.9
2017,Minas Gerais,94.2,88.6,5.1,8.0
2017,Minas Gerais,95.6,89.8,3.7,6.3
2017,Minas Gerais,98.0,95.0,1.9,4.8
2017,Minas Gerais,98.0,95.0,2.0,4.8
2017,Minas Gerais,94.8,94.7,4.2,3.0
2017,Minas Gerais,92.1,79.0,6.5,13.1
2017,Minas Gerais,91.8,78.7,6.8,13.3
2017,Minas Gerais,95.1,88.4,4.1,6.9
2017,Espírito Santo,90.0,84.8,9.2,12.3
2017,Espírito Santo,89.9,84.6,9.3,12.5
2017,Espírito Santo,91.0,89.3,8.3,7.9
2017,Espírito Santo,,86.8,,11.4
2017,Espírito Santo,,86.6,,11.7
2017,Espírito Santo,,87.5,,9.9
2017,Espírito Santo,87.9,83.0,10.9,13.6
2017,Espírito Santo,87.6,82.9,11.1,13.7
2017,Espírito Santo,91.5,88.0,8.0,8.9
2017,Espírito Santo,89.1,100.0,10.1,0.0
2017,Espírito Santo,88.8,,10.4,
2017,Espírito Santo,90.9,100.0,8.5,0.0
2017,Espírito Santo,98.1,95.4,1.9,4.4
2017,Espírito Santo,98.2,95.5,1.8,4.4
2017,Espírito Santo,92.6,93.7,4.7,4.1
2017,Espírito Santo,88.8,83.3,10.3,13.4
2017,Espírito Santo,88.5,83.1,10.5,13.6
2017,Espírito Santo,91.0,88.0,8.4,9.1
2017,Rio de Janeiro,88.8,81.8,9.9,14.1
2017,Rio de Janeiro,89.0,81.7,9.7,14.2
2017,Rio de Janeiro,84.9,86.4,13.9,10.4
2017,Rio de Janeiro,93.8,86.8,6.0,11.7
2017,Rio de Janeiro,93.8,87.1,6.0,11.4
2017,Rio de Janeiro,,79.5,,18.4
2017,Rio de Janeiro,77.5,78.4,19.9,16.5
2017,Rio de Janeiro,77.6,78.1,19.8,16.7
